Juan Roman Riquelme,89,198000
Alan Shearer,87,144000
Paolo Maldini,88,647000
Kaka,89,606000
Javier Zanetti,88,359000
Christian Vieri,86,149000
Juan Roman Riquelme,91,398000
Andriy Shevchenko,91,479000
Jari Litmanen,88,149000
Roberto Baggio,89,317000
George Best,90,978000
Rivaldo,90,440000
Jari Litmanen,85,123000
Luis Hernandez,87,371000
Robert Pires,88,154000
Paul Scholes,89,208000
Hugo Sanchez,87,284000
Javier Zanetti,87,333000
David Beckham,87,872000
Pavel Nedved,89,442000
Rui Costa,90,365000
Marco Van Basten,91,203000
Gianluca Zambrotta,86,516000
Michael Laudrup,85,152000
Laurent Blanc,89,666000
Alessandro Nesta,92,399000
Michael Owen,91,480000
Frank Lampard,90,451000
Raul,88,269000
Ruud Van Nistelrooy,86,135000
Kaka,87,569000
Petr Cech,88,277000
Lev Yashin,94,604000
Xavi,88,452000
Roberto Baggio,91,439000
Gheorghe Hagi,85,208000
Fernando Hierro,89,223000
Gary Lineker,89,267000
Dennis Bergkamp,90,391000
Sol Campbell,87,561000
Sol Campbell,89,642000
Ryan Giggs,92,379000
Garrincha,94,2145000
Bastian Schweinsteiger,91,996000
Emilio Butragueno,87,729000
Gianfranco Zola,87,412000
Michael Essien,85,794000
Ronaldinho,89,1263000
Gheorghe Hagi,91,402000
Alan Shearer,91,260000
David Beckham,92,810000
Raul,86,135000
Hugo Sanchez,89,427000
Luis Figo,92,1050000
Marcel Desailly,91,1195000
Puyol,90,344000
John Barnes,86,212000
Eric Cantona,90,1493000
Jay-Jay Okocha,87,173000
Robert Pires,91,302000
Deco,85,137000
Rivaldo,87,384000
Miroslav Klose,91,353000
Ryan Giggs,89,153000
Samuel Eto'O,90,1696000
Fernando Torres,85,362000
Garrincha,92,1212000
Carlos Alberto Torres,87,851000
Carlos Alberto Torres,93,1033000
Roy Keane,90,434000
Filippo Inzaghi,85,126000
Roy Keane,88,306000
Pep Guardiola,87,277000
Franco Baresi,88,189000
Phillip Lahm,91,904000
Nemanja Vidic,88,283000
Fabio Cannavaro,87,666000
Ian Wright,87,144000
Diego Maradona,91,1715000
Ronald Koeman,91,633000
Paolo Maldini,92,1339000
David Trezeguet,91,245000
Bobby Moore,87,208000
Peter Schmeichel,92,361000
Franco Baresi,91,226000
Ian Rush,91,348000
Rio Ferdinand,88,656000
Petr Cech,91,486000
Ferenc Puskas,92,1904000
Andriy Shevchenko,86,253000
Gennaro Gattuso,85,312000
Ian Wright,85,197000
Michael Essien,87,594000
Bobby Moore,92,307000
Roberto Carlos,86,524000
Luis Figo,90,633000
Ashley Cole,87,283000
Steven Gerrard,86,355000
Juan Roman Riquelme,87,164000
