Juan Roman Riquelme,89,198000
Alan Shearer,87,149000
Paolo Maldini,88,633000
Kaka,89,588000
Javier Zanetti,88,346000
Christian Vieri,86,135000
Juan Roman Riquelme,91,384000
Andriy Shevchenko,91,458000
Jari Litmanen,88,158000
Roberto Baggio,89,307000
George Best,90,1015000
Rivaldo,90,434000
Jari Litmanen,85,127000
Luis Hernandez,87,354000
Robert Pires,88,163000
Paul Scholes,89,208000
Hugo Sanchez,87,293000
Javier Zanetti,87,342000
David Beckham,87,815000
Pavel Nedved,89,452000
Rui Costa,90,370000
Marco Van Basten,91,219000
Gianluca Zambrotta,86,525000
Michael Laudrup,85,154000
Laurent Blanc,89,679000
Alessandro Nesta,92,404000
Michael Owen,91,458000
Frank Lampard,90,407000
Raul,88,271000
Ruud Van Nistelrooy,86,135000
Kaka,87,590000
Petr Cech,88,285000
Lev Yashin,94,587000
Xavi,88,463000
Roberto Baggio,91,421000
Gheorghe Hagi,85,206000
Fernando Hierro,89,210000
Gary Lineker,89,280000
Dennis Bergkamp,90,380000
Sol Campbell,87,542000
Sol Campbell,89,651000
Ryan Giggs,92,374000
Garrincha,94,2109000
Bastian Schweinsteiger,91,1016000
Emilio Butragueno,87,702000
Gianfranco Zola,87,405000
Michael Essien,85,815000
Ronaldinho,89,1290000
Gheorghe Hagi,91,403000
Alan Shearer,91,256000
David Beckham,92,815000
Raul,86,155000
Hugo Sanchez,89,398000
Luis Figo,92,1049000
Marcel Desailly,91,1262000
Puyol,90,357000
John Barnes,86,226000
Eric Cantona,90,1530000
Jay-Jay Okocha,87,180000
Robert Pires,91,298000
Deco,85,142000
Rivaldo,87,344000
Miroslav Klose,91,357000
Ryan Giggs,89,153000
Samuel Eto'O,90,1706000
Fernando Torres,85,364000
Garrincha,92,1240000
Carlos Alberto Torres,87,833000
Carlos Alberto Torres,93,1217000
Roy Keane,90,461000
Filippo Inzaghi,85,124000
Roy Keane,88,310000
Pep Guardiola,87,268000
Franco Baresi,88,206000
Phillip Lahm,91,899000
Nemanja Vidic,88,276000
Fabio Cannavaro,87,670000
Ian Wright,87,156000
Diego Maradona,91,1770000
Ronald Koeman,91,604000
Paolo Maldini,92,1380000
David Trezeguet,91,258000
Bobby Moore,87,201000
Peter Schmeichel,92,359000
Franco Baresi,91,234000
Ian Rush,91,353000
Rio Ferdinand,88,686000
Petr Cech,91,518000
Ferenc Puskas,92,1720000
Andriy Shevchenko,86,258000
Gennaro Gattuso,85,331000
Ian Wright,85,199000
Michael Essien,87,597000
Bobby Moore,92,288000
Roberto Carlos,86,499000
Luis Figo,90,617000
Ashley Cole,87,278000
Steven Gerrard,86,352000
Juan Roman Riquelme,87,163000
Lothar Matthaus,88,969000
Michael Essien,90,1514000
Marc Overmars,88,295000
Pep Guardiola,90,571000
Samuel Eto'O,87,1478000
Rui Costa,85,153000
John Barnes,87,171000
Andriy Shevchenko,88,167000
Alessandro Del Piero,92,724000
Ashley Cole,85,334000
Fabio Cannavaro,89,375000
Bastian Schweinsteiger,87,361000
Hidetoshi Nakata,85,135000
Edwin Van Der Sar,87,333000
Michael Ballack,91,1023000
Alessandro Nesta,90,262000
Puyol,92,412000
Christian Vieri,88,144000
Gennaro Gattuso,87,250000
Nemanja Vidic,90,741000
Ferenc Puskas,89,1584000
Thierry Henry,93,1895000
Michael Ballack,89,647000
Frank Lampard,88,184000
Davor Suker,87,321000
Michael Owen,88,276000
Edwin Van Der Sar,89,353000
Emmanuel Petit,90,898000
Andrea Pirlo,90,406000
Andrea Pirlo,88,296000
Fabio Cannavaro,92,834000
Pavel Nedved,91,516000
Fernando Hierro,91,384000
Eric Cantona,88,1423000
Michael Laudrup,89,129000
Patrick Kluivert,86,178000
Ronaldo Nazario,90,2151000
Hristo Stoichkov,87,432000
Xavi,90,525000
Gianfranco Zola,90,555000
Filippo Inzaghi,90,153000
Frank Rijkaard,88,453000
Roy Keane,86,201000
Rui Costa,88,190000
Emmanuel Petit,88,629000
Gary Lineker,87,168000
Roberto Baggio,93,638000
Frank Lampard,86,217000
Kenny Dalglish,87,905000
Ronald Koeman,85,176000
Alessandro Del Piero,90,623000
Miroslav Klose,87,132000
David Trezeguet,89,164000
Miroslav Klose,89,155000
Jay-Jay Okocha,85,269000
Laurent Blanc,85,923000
Rio Ferdinand,90,1274000
Emmanuel Petit,85,240000
Steven Gerrard,89,629000
Gheorghe Hagi,89,312000
Fernando Torres,88,738000
Henrik Larsson,87,135000
Filippo Inzaghi,87,131000
Deco,90,298000
Fernando Torres,91,1562000
Hristo Stoichkov,90,579000
Clarence Seedorf,88,859000
Roberto Carlos,88,636000
Clarence Seedorf,85,611000
Marco Van Basten,93,466000
Peter Schmeichel,86,157000
Robert Pires,85,144000
Peter Schmeichel,90,228000
Dennis Bergkamp,87,199000
Davor Suker,90,501000
Didier Drogba,89,537000
Ian Wright,89,289000
Laurent Blanc,91,812000
Hidetoshi Nakata,88,208000
Ruud Van Nistelrooy,90,169000
Rivaldo,92,550000
Gary Lineker,92,470000
Kenny Dalglish,90,1075000
Ruud Gullit,86,1045000
Hernan Crespo,90,692000
Luis Hernandez,85,342000
Luis Figo,88,507000
Garrincha,90,996000
Christian Vieri,90,190000
Phillip Lahm,87,463000
Marc Overmars,86,154000
Clarence Seedorf,91,735000
Paul Scholes,91,380000
Dennis Bergkamp,92,611000
Phillip Lahm,89,1021000
Hugo Sanchez,92,995000
Marc Overmars,90,444000
Michael Ballack,86,371000
Marcel Desailly,87,892000
Patrick Kluivert,91,369000
Xavi,93,1249000
Ian Rush,87,163000
Gianluca Zambrotta,89,708000
Alan Shearer,89,178000
David Trezeguet,86,149000
Fernando Hierro,86,217000
Franco Baresi,93,403000
Pep Guardiola,85,213000
Roberto Carlos,91,1016000
Bastian Schweinsteiger,89,432000
Hernan Crespo,85,190000
Lev Yashin,89,258000
Jay-Jay Okocha,90,475000
Hernan Crespo,87,259000
Socrates,89,502000
Patrick Kluivert,88,200000
Henrik Larsson,86,167000
Raul,92,910000
Rio Ferdinand,85,872000
Edwin Van Der Sar,91,489000
Gianfranco Zola,85,570000
Thierry Henry,87,498000
Gennaro Gattuso,89,352000
Thierry Henry,90,750000
Juan Sebastian Veron,86,243000
Ian Rush,89,184000
Claude Makelele,85,276000
Didier Drogba,91,1243000
Kaka,91,1279000
Socrates,87,381000
Michael Owen,86,149000
Lev Yashin,91,329000
Frank Rijkaard,86,226000
Pavel Nedved,86,312000
Frank Rijkaard,90,723000
David Beckham,89,450000
Deco,87,153000
Kenny Dalglish,92,1699000
Ruud Van Nistelrooy,92,389000
Jari Litmanen,90,207000
Paul Scholes,87,187000
Zinedine Zidane,91,1899000
Ryan Giggs,87,184000
Hristo Stoichkov,92,1247000
