Juan Roman Riquelme,89,183000
Alan Shearer,87,149000
Paolo Maldini,88,633000
Kaka,89,570000
Javier Zanetti,88,348000
Christian Vieri,86,135000
Juan Roman Riquelme,91,393000
Andriy Shevchenko,91,473000
Jari Litmanen,88,153000
Roberto Baggio,89,314000
George Best,90,1051000
Rivaldo,90,443000
Jari Litmanen,85,131000
Luis Hernandez,87,348000
Robert Pires,88,158000
Paul Scholes,89,231000
Hugo Sanchez,87,285000
Javier Zanetti,87,327000
David Beckham,87,897000
Pavel Nedved,89,430000
Rui Costa,90,364000
Marco Van Basten,91,204000
Gianluca Zambrotta,86,552000
Michael Laudrup,85,159000
Laurent Blanc,89,697000
Alessandro Nesta,92,434000
Michael Owen,91,505000
Frank Lampard,90,469000
Raul,88,276000
Ruud Van Nistelrooy,86,137000
Kaka,87,571000
Petr Cech,88,288000
Lev Yashin,94,616000
Xavi,88,461000
Roberto Baggio,91,419000
Gheorghe Hagi,85,222000
Fernando Hierro,89,235000
Gary Lineker,89,285000
Dennis Bergkamp,90,398000
Sol Campbell,87,569000
Sol Campbell,89,684000
Ryan Giggs,92,397000
Garrincha,94,2192000
Bastian Schweinsteiger,91,1053000
Emilio Butragueno,87,688000
Gianfranco Zola,87,402000
Michael Essien,85,814000
Ronaldinho,89,1266000
Gheorghe Hagi,91,415000
Alan Shearer,91,285000
David Beckham,92,878000
Raul,86,158000
Hugo Sanchez,89,387000
Luis Figo,92,1093000
Marcel Desailly,91,1267000
Puyol,90,339000
John Barnes,86,237000
Eric Cantona,90,1533000
Jay-Jay Okocha,87,181000
Robert Pires,91,297000
Deco,85,153000
Rivaldo,87,353000
Miroslav Klose,91,344000
Ryan Giggs,89,154000
Samuel Eto'O,90,1718000
Fernando Torres,85,353000
Garrincha,92,1254000
Carlos Alberto Torres,87,842000
Carlos Alberto Torres,93,1209000
Roy Keane,90,461000
Filippo Inzaghi,85,135000
Roy Keane,88,324000
Pep Guardiola,87,291000
Franco Baresi,88,212000
Phillip Lahm,91,920000
