Juan Roman Riquelme,89,196000
Alan Shearer,87,144000
Paolo Maldini,88,657000
Kaka,89,572000
Javier Zanetti,88,374000
Christian Vieri,86,137000
Juan Roman Riquelme,91,375000
Andriy Shevchenko,91,473000
Jari Litmanen,88,153000
Roberto Baggio,89,335000
George Best,90,998000
Rivaldo,90,438000
Jari Litmanen,85,135000
Luis Hernandez,87,348000
Robert Pires,88,154000
Paul Scholes,89,213000
Hugo Sanchez,87,281000
Javier Zanetti,87,344000
David Beckham,87,850000
Pavel Nedved,89,443000
Rui Costa,90,386000
Marco Van Basten,91,208000
Gianluca Zambrotta,86,528000
Michael Laudrup,85,157000
Laurent Blanc,89,700000
Alessandro Nesta,92,421000
Michael Owen,91,461000
Frank Lampard,90,441000
Raul,88,271000
Ruud Van Nistelrooy,86,135000
Kaka,87,595000
Petr Cech,88,289000
Lev Yashin,94,633000
Xavi,88,498000
Roberto Baggio,91,425000
Gheorghe Hagi,85,224000
Fernando Hierro,89,212000
Gary Lineker,89,287000
Dennis Bergkamp,90,397000
Sol Campbell,87,545000
Sol Campbell,89,642000
Ryan Giggs,92,384000
Garrincha,94,2316000
Bastian Schweinsteiger,91,1008000
Emilio Butragueno,87,694000
Gianfranco Zola,87,425000
Michael Essien,85,815000
Ronaldinho,89,1358000
Gheorghe Hagi,91,411000
Alan Shearer,91,270000
David Beckham,92,811000
Raul,86,144000
Hugo Sanchez,89,398000
Luis Figo,92,1050000
Marcel Desailly,91,1254000
Puyol,90,361000
John Barnes,86,216000
Eric Cantona,90,1532000
Jay-Jay Okocha,87,173000
Robert Pires,91,307000
Deco,85,135000
Rivaldo,87,366000
Miroslav Klose,91,359000
Ryan Giggs,89,153000
Samuel Eto'O,90,1710000
Fernando Torres,85,361000
Garrincha,92,1245000
Carlos Alberto Torres,87,849000
Carlos Alberto Torres,93,1114000
Roy Keane,90,443000
Filippo Inzaghi,85,134000
Roy Keane,88,314000
Pep Guardiola,87,287000
Franco Baresi,88,202000
Phillip Lahm,91,894000
Nemanja Vidic,88,285000
Fabio Cannavaro,87,679000
Ian Wright,87,155000
Diego Maradona,91,1761000
Ronald Koeman,91,642000
Paolo Maldini,92,1371000
David Trezeguet,91,261000
Bobby Moore,87,218000
Peter Schmeichel,92,365000
Franco Baresi,91,262000
Ian Rush,91,339000
Rio Ferdinand,88,710000
Petr Cech,91,532000
Ferenc Puskas,92,1805000
Andriy Shevchenko,86,256000
Gennaro Gattuso,85,321000
Ian Wright,85,199000
Michael Essien,87,575000
Bobby Moore,92,321000
Roberto Carlos,86,507000
Luis Figo,90,642000
Ashley Cole,87,271000
Steven Gerrard,86,371000
Juan Roman Riquelme,87,163000
Lothar Matthaus,88,981000
Michael Essien,90,1485000
Marc Overmars,88,315000
Pep Guardiola,90,575000
Samuel Eto'O,87,1489000
Rui Costa,85,151000
John Barnes,87,170000
Andriy Shevchenko,88,163000
Alessandro Del Piero,92,693000
Ashley Cole,85,344000
Fabio Cannavaro,89,375000
Bastian Schweinsteiger,87,375000
Hidetoshi Nakata,85,140000
Edwin Van Der Sar,87,326000
Michael Ballack,91,1084000
Alessandro Nesta,90,240000
Puyol,92,403000
Christian Vieri,88,150000
Gennaro Gattuso,87,265000
Nemanja Vidic,90,738000
Ferenc Puskas,89,1599000
Thierry Henry,93,1900000
Michael Ballack,89,644000
Frank Lampard,88,194000
Davor Suker,87,319000
Michael Owen,88,289000
Edwin Van Der Sar,89,357000
Emmanuel Petit,90,884000
Andrea Pirlo,90,415000
Andrea Pirlo,88,312000
Fabio Cannavaro,92,855000
Pavel Nedved,91,545000
Fernando Hierro,91,371000
Eric Cantona,88,1457000
Michael Laudrup,89,143000
Patrick Kluivert,86,170000
Ronaldo Nazario,90,2166000
Hristo Stoichkov,87,436000
Xavi,90,547000
Gianfranco Zola,90,556000
Filippo Inzaghi,90,149000
Frank Rijkaard,88,425000
Roy Keane,86,225000
Rui Costa,88,190000
Emmanuel Petit,88,633000
Gary Lineker,87,157000
Roberto Baggio,93,679000
Frank Lampard,86,238000
Kenny Dalglish,87,892000
Ronald Koeman,85,184000
Alessandro Del Piero,90,623000
Miroslav Klose,87,140000
David Trezeguet,89,181000
Miroslav Klose,89,149000
Jay-Jay Okocha,85,265000
Laurent Blanc,85,921000
Rio Ferdinand,90,1336000
Emmanuel Petit,85,235000
Steven Gerrard,89,652000
Gheorghe Hagi,89,320000
Fernando Torres,88,735000
Henrik Larsson,87,144000
Filippo Inzaghi,87,134000
Deco,90,294000
Fernando Torres,91,1495000
Hristo Stoichkov,90,568000
Clarence Seedorf,88,850000
Roberto Carlos,88,659000
Clarence Seedorf,85,653000
Marco Van Basten,93,466000
Peter Schmeichel,86,158000
Robert Pires,85,153000
Peter Schmeichel,90,240000
Dennis Bergkamp,87,197000
Davor Suker,90,507000
Didier Drogba,89,518000
Ian Wright,89,288000
Laurent Blanc,91,826000
Hidetoshi Nakata,88,221000
Ruud Van Nistelrooy,90,176000
Rivaldo,92,556000
Gary Lineker,92,345000
Kenny Dalglish,90,1101000
Ruud Gullit,86,1051000
Hernan Crespo,90,687000
Luis Hernandez,85,331000
Luis Figo,88,519000
Garrincha,90,1050000
Christian Vieri,90,190000
Phillip Lahm,87,495000
Marc Overmars,86,143000
Clarence Seedorf,91,721000
Paul Scholes,91,371000
Dennis Bergkamp,92,606000
Phillip Lahm,89,1007000
Hugo Sanchez,92,987000
Marc Overmars,90,456000
Michael Ballack,86,389000
Marcel Desailly,87,905000
Patrick Kluivert,91,355000
Xavi,93,1409000
Ian Rush,87,167000
Gianluca Zambrotta,89,728000
Alan Shearer,89,180000
David Trezeguet,86,144000
Fernando Hierro,86,223000
Franco Baresi,93,381000
Pep Guardiola,85,224000
Roberto Carlos,91,1090000
Bastian Schweinsteiger,89,430000
Hernan Crespo,85,192000
Lev Yashin,89,259000
Jay-Jay Okocha,90,469000
Hernan Crespo,87,262000
Socrates,89,504000
Patrick Kluivert,88,192000
Henrik Larsson,86,177000
Raul,92,919000
Rio Ferdinand,85,867000
Edwin Van Der Sar,91,522000
Gianfranco Zola,85,567000
Thierry Henry,87,527000
Gennaro Gattuso,89,346000
Thierry Henry,90,734000
Juan Sebastian Veron,86,244000
Ian Rush,89,181000
Claude Makelele,85,282000
Didier Drogba,91,1265000
Kaka,91,1332000
Socrates,87,383000
Michael Owen,86,156000
Lev Yashin,91,336000
Frank Rijkaard,86,258000
Pavel Nedved,86,317000
Frank Rijkaard,90,759000
David Beckham,89,451000
Deco,87,164000
Kenny Dalglish,92,1729000
Ruud Van Nistelrooy,92,384000
Jari Litmanen,90,217000
Paul Scholes,87,188000
Zinedine Zidane,91,1935000
Ryan Giggs,87,176000
Hristo Stoichkov,92,1284000
Carlos Alberto Torres,90,636000
Gianluca Zambrotta,87,355000
Emilio Butragueno,92,1476000
John Barnes,89,413000
Henrik Larsson,90,552000
Steven Gerrard,91,849000
Ashley Cole,89,570000
Claude Makelele,87,493000
Michael Laudrup,91,270000
Emilio Butragueno,90,1011000
Bobby Moore,89,180000
Andrea Pirlo,92,570000
Claude Makelele,90,904000
Patrick Vieira,86,1642000
Luis Hernandez,90,644000
Alessandro Del Piero,87,700000
Marcel Desailly,88,751000
Sol Campbell,85,584000
Marco Van Basten,89,240000
Diego Maradona,95,1776000
Nemanja Vidic,85,342000
Juan Sebastian Veron,88,360000
Socrates,91,904000
Puyol,86,218000
Juan Sebastian Veron,90,606000
Didier Drogba,87,531000
Alessandro Nesta,88,235000
George Best,88,920000
Javier Zanetti,92,611000
Hidetoshi Nakata,86,126000
Petr Cech,86,233000
Lothar Matthaus,91,1583000
Ronald Koeman,88,384000
Davor Suker,85,241000
Johan Cruyff,89,2572000
Zinedine Zidane,94,2223000
Ronaldinho,91,2346000
Patrick Vieira,88,2560000
Lothar Matthaus,93,2294000
George Best,93,2033000
Johan Cruyff,91,2824000
Eusebio,91,2846000
Pele,91,2983000
Ferenc Puskas,94,2634000
Samuel Eto'O,92,2729000
Eric Cantona,93,2807000
